Beryll|+Beryll
ABC Television Studios|American Broadcasting Company Studios
ABC Supply Co., Inc|ABC Supply Company
ABC Motors Ltd|ABC motorcycles
ABF U-Pack|Arkansas Best Corporation
ABKCO Music & Records|ABKCO Records
ABLV Bank, AS|ABLV Bank
ABMII|ABM Industries Incorporated
ABN AMRO Bank Canada|Abn amro morgans
ABN AMRO Group|Fortis-ABN AMRO
ABN Assets|Abn assets
ABP Induction Systems GmbH|ABP Induction Systems
Royal Schools of Music|Associated Board of the Royal Schools of Music
Abry Partners|ABRY Partners
ABR Holdings|ABR Holdings Limited
ABS-CBN Cable Channels|Creative Programs, Inc.
List of controversies involving the ABS-CBN Broadcasting Corporation|ABS CBN
Absi|ABS-CBN Interactive
ABS-CBN Publishing Inc.|ABS-CBN Publishing
ABS-CBNmobile|ABS-CBN Mobile
Asia Broadcast Satellite|ABS
ABS Capital|ABS Capital Partners
ABS Friction|ABS Friction Inc.
ABS Global Inc|ABS Global
AB Stockholms Sparvagar|Stockholms Sparvagar
Swedish Film Industry|AB Svensk Filmindustri
Acco Brands Corporation|Acco Brands
The Associated Cement Companies Limited|Associated Cement Companies
AutoClaims Direct|ACD
ACD.net|ACD
ACD Systems|ACDSystems
AC-Delco|AC Delco
ACE Aviation|ACE Aviation Holdings
Chubb Ltd.|Ace Ltd
ACE Radio|Ace Radio
ACE Rent A Car|ACE Rent a Car
ACI Worldwide, Inc.|ACI Worldwide
Acleda Bank Myanmar|Acleda Bank
Audit command language|ACL Services Ltd.
VLRA|ACMAT TPK
Acme Communications|ACME Communications Inc.
ACM Gold|ACM Gold & Forex Trading
American Communication Network|ACN Inc.
AC Cars Group Ltd.|AC Cars Ltd
Ac comics|AC Comics
AC Entertainment|A C Entertainment
Herman Josephs|Herman Joseph's
AC Hotels|AC Hotels by Marriott
ACube Systems Srl|ACube Systems
ADAMA Agricultural Solutions Ltd.|Makhteshim Agan
Adas|Cambridge Environmental Assessments
ADATA|ADATA Technology Co., Ltd.
Airdisco|Aircraft Disposal Company
ADC Telecommunications|ADC Telecommunications Inc.
Adeem Investment|ADEEM Investment and Wealth Management Company
Adess AG|ADESS AG
LabChart|ADInstruments
ADK|Alpha Denshi Corp.
ADLINK Technology Inc.|Adlink
ADRaudio|EONA ADRaudio
ADTRAN Inc|AdTran
ADVA Optical Networking|ADVA Optical Networking SE
AEA Partners|AEA Capital
AEA Technology|Ricardo-AEA
AECI Limited|Aeci group
AECOM Technology Corporation|The RETEC Group
Academy for Educational Development|AED
AED Oil Limited|AED Oil
Allgemeine Elektrizitats Gesellschaft|AEG 'B' Series
JUSCO Co., Ltd.|Saty
Aerco|AERCO International
AES Eletropaulo S.A.|AES Eletropaulo
American Eagle Tankers|AET Tanker Holdings Sdn Bhd
AFC Ajax N.V.|AFC Ajax NV
AFC Energy plc|AFC Energy
America's Favorite Chicken Company|AFC Enterprises
AFFCO Holdings Limited|AFFCO Holdings
AFL-CIO Employees Federal Credit Union|AFL-CIO Credit Union
AFS Trinity Power Corp, Inc.|AFS Trinity
AF Group|AF Gruppen
AF Holding International|AF Holding
Television Ratings in Philippines|AGB Nielsen Philippines
AGCO Corp|AGCO CORP
AGEOD|AGEod
AGF France|Assurances Generales de France
AGF Management Limited|AGF Management Ltd.
Asx:agk|Agl energy
AGL Resources|AGL Resources Inc.
AGS Airports Ltd.|AGS Airports Ltd
AGV SpA|Amisano Gino
AGVSPORT|AGV Sport
Contipark|AG Real Estate
Aktien-Gesellschaft Vulcan Stettin|A.G. Vulcan
A.G. Weser|AG Weser
AH-Software|AH Software
Aia australia|AIA Group Limited
AIA Public Takaful|AIA Public Takaful Berhad
AIC Ventures|AIC Ventures LP
Aida Cruises|Aida cruises
AIK BANKA|AIK banka Nis
Stevens Motorcycles|AJS
AJW Motorcycles Ltd|AJW Motorcycles
AJWright|A. J. Wright
A J Bell|AJ Bell
AKG Acoustics|AKG Acoustics GmbH
AKN Eisenbahn AG|AKN Railway
AKOM Production, Ltd.|AKOM Production Company
NGT48|AKS Co., Ltd.
AKTA INFO|Akta TV
Aekyung|AK PLAZA
American Rolling Mills|Armco Inc.
ALARGAN International Real Estate|ALARGAN International Real Estate Company
ALBEDO telecom|ALBEDO Telecom
Duckwall-ALCO Retail Stores|Duckwall-Alco Stores
Alda Events|ALDA Events
ALDREES Petroleum and Transport Services Company|Aldrees
ALFA S.A.B. de C.V.|Grupo Alfa
ALMACO|ALMACO Group
MERA Systems|ALOE Systems
Alrosa Company Ltd.|Almazy rossii-sakha
ALZ|Allegheny-Longdoz
Proyecto ALiX|ALix Project
Adam, Meldrum & Anderson Company|Adam, Meldrum & Anderson
Austria Metall|Austria Metall AG
Autombil- und Motoren AG|AMAG Automobil- und Motoren
AMAG Pharmaceuticals, Inc.|AMAG Pharmaceuticals Inc.
AMCON Distributing|AMCON Distributing Company
AMC Networks|Rainbow Enterprises
Chellomedia|AMC Networks International
AMC Cinemas|AMC Entertainment Inc
AMEinfo.com|Ameinfo
AMK Mini Coaches|AMK Group
AMP Capital|AMP Capital Shopping Centres
National Mututal|AMP Financial Services
Amsterdam and Rotterdam Bank|AMRO Bank
AMR Corp|Amr Corporation
AMS Neve|AMS Neve plc
AMS Production Company|AMS Pictures
Azienda Municipalizzata Trasporti|Azienda Mobilita e Trasporti
AMX|AMX Corporation
AM General|Am General
ANADIGICS,Inc|ANADIGICS, Inc.
ANAS|Azienda Nazionale Autonoma delle Strade
Aeroportos de Portugal|ANA Aeroportos de Portugal SA
ANCA|ANCA Pty Ltd
And1|AND1
ANEK Lines|ANEK
Bombardier, Crespin|Ateliers de construction du Nord de la France
ANF Les Mureaux|ANF Mureaux
ANGEL Learning, Inc.|ANGEL LMS
Azienda Napoletana Mobilita|ANM SpA
ANS Fashions|ANS fashions
ANT1 Group|Antenna Group
Anteldata.com.uy|Anteldata
ANZ Amerika Samoa Bank|Amerika Samoa Bank
ANZ Bank New Zealand|ANZ National Bank
AOC International|Admiral Overseas Corporation
AOLer|AOL Games
AOL broadband|AOL UK
Aoltv.com|AOLTV
A O World|ao.com
Aopen|AOPEN Inc.
APCOA Parking|APCOA
American Power Conversion Corp.|APC Symmetra
Association pour la Promotion des Echelles Volantes|APEV
APF Electronics Inc.|APF Electronics, Inc.
Apm terminals|APM Terminals
APN News & Media|The Northland Age
APS Bank Malta|APS Bank
APUS Group|Apus Group
Gerry & Sylvia Anderson|Gerry and Sylvia Anderson
aPriori Capital Partners|DLJ MB
AQR Capital|AQR Capital Management
Pokemon Battrid|AQ Interactive Inc.
ARAMCCO in Germany|Aramcco in germany
Arbed Group|ARBED
Asociatia Romana pentru Cosmonautica si Aeronautica|Cosmonautics and Aeronautics Romanian Association
Thrifty Oil|BP West Coast Products
ARCOS LLC|ARCOS, Inc.
ARC Document Solutions, Inc.|ARC Document Solutions
ARC Energy Trust|ARC Resources Ltd.
Ontario Drive & Gear Limited|Argo UTV
ARIAD Pharmaceuticals|Ariad Pharmaceuticals
Aeronautical Radio Inc.|Arinc Inc.
Atomredmetzoloto|ARMZ Uranium Holding Co.
Athi River Mining|ARM Cement Limited
ARM Holdings|Advanced RISC Machines Ltd.
ARM Norway|Falanx
ARO|Auto Romania
ARSAT S.A.|AR-SAT S.A.
ARTech Consultores SRL|Artech Consultores, Ltd.
ARY Films|Mission 5
ARY One|ARY Group
Umberto Crenca|AS220
ASA Productions and Enterprises Pvt. Ltd.|ASA Productions and Enterprises
ASB Information Centre|ASB Bank
ASC Games|American Softworks Corporation
Australian Submarine Corporation|ASC Pty Ltd
ASELSAN|Aselsan
ASFiNAG|ASFINAG
ASICS|ASICS Corporation
ASIMCO Technologies|ASIMCO
ASIX|ASIX Electronics Corp.
ASI|Archaeological Services Inc.
ASK Italian|Ask Italian
ASM Lithography|ASML Holding
ASM International N.V.|ASM International
As Seen On Screen|AsSeenOnScreen
Armament Systems and Procedures, Inc.|Asp baton
ASRC Aerospace|Asrc aerospace
ASRock Inc.|ASRock
Associated Chambers of Commerce & Industry of India|Associated Chambers of Commerce and Industry of India
ASint Technology|ASint Technology Corporation
AST Records|ASpecialThing Records
a names|AT&T America
Alascom, Inc.|AT&T Alascom
AT&T Broadband LLC|AT&T Broadband
AT&T Long Lines|AT&T Communications
Pre-2005 AT&T|AT&T Corporation
Cingular Wireless GoPhone|AT&T GoPhone
SBC Properties, L.P.|SBC Knowledge Ventures
At&t labs|AT&T Labs Research
Iusacell|Grupo Iusacell
AT&T Mobility LLC.|AT&T Mobility LLC
Att uverse|AT&T U-verse
McCaw Cellular Communications|LA Cellular
ATB Financial|Alberta Treasury Branches
Atco Ltd.|ATCO Ltd.
Automation Tool Company|Automation tool company
ATEN International Co., Ltd.|ATEN International Co., Ltd
ATE Bank|ATEbank
ATYT|Ati technologies
72|Atraircraft.com
ATS Automation Tooling Systems|ATS Automation Tooling Systems Inc
Ats tyres and exhausts|ATS Euromaster Ltd
ATINTERNET|A t internet
AU Optronics Corporation|AU Optronics Corp.
Avg.com|AVG Technologies N.V.
Avl list|List GmbH
AVM A1-Card|AVM GmbH
AVM Studios|AVM Productions
AVST|Applied voice and speech technologies
AVX Corporation|Radiola Wireless Corporation
AVerMedia Information|AVerMedia
Ansett Worldwide|Ansett Worldwide Aviation Services
AWB Ltd.|AWB GrainFlow
AWC Fine Wine|The Antique Wine Company
AWD Holding AG|Allgemeiner Wirtschaftsdienst
Anglian Water Group|AWG plc
AWS True power|AWS Turepower
Groupe Axa|AXA Group
Equitable Insurance Company|Equitable Life Insurance Company
AXA PPP healthcare|AXA PPP healthcare Limited
AXIS Telekom Indonesia|PT AXIS Telekom Indonesia
AXS.com|Axs.com
MZMA|AZLK
Band Apart|A Band Apart
Bape|Bathing apes
A Better Badge|Better Badges
Dollar ou Deux|Buck or Two
A M Jacquard Systems|Type-Rite
A Twosome Place|Twosome Place
Aalborg Boldspilklub A/S|S
Aabar|Aabar Investments
Aabsal|Absal
ANTHE|Aakash Institute
Aardman Features|Aardman Animations
Aardvark Vanaheim|Aardvark-Vanaheim
Aareal Bank|Aareal Bank AG
AAK|AarhusKarlshamn AB
Aarhus Oliefabrik|S
Aaron's Inc.|Aaron Rents, Inc. CL-A
Aashirvad Cinemas|Aashirvad Cinema
Aastra Technologies Ltd.|Aastra Technologies Limited
Aaton Digital|Aaton
Abacus5|Abacus 5
Aban Offshore Ltd.|Aban Group
Abanca|Novagalicia Banco
Alternatifbank|Alternatif Bank
Fiat 750 Abarth|Fiat Abarth
Abas Business Software|Abas Business Suite
Abbvie|AbbVie
Abbey Ales|Abbey Ales Brewery
National and Provincial Building Society|National and Provincial
Abbingdon Music Research|IFi Audio
Abbott's Frozen Custard|Arthur Abbott
Abbott-Baynes Sailplanes Ltd|Abbott-Baynes Sailplanes
Isomil|Abbott Labs
Abbott Mead Vickers BBDO|AMV
Jabot Cosmetics|Abbott Family
Abcam plc|Abcam PLC
Abdallah chocolates|Abdallah Candies, Inc.
Abebook|Abe Books.com
Abellio Transport Holding BV|NedRailways
Abellio Deutschland|Abellio Rail NRW
Abeinsa|Abengoa
Abengoa Solar|Solucar
Access Pharmaceuticals|Abeona Therapeutics
Abercrombie & Fitch Company|Abercrombie and fitch
Abercrombie Kids|Abercrombie and Fitch Kids
Aberdeen Asset Management PLC|Aberdeen Asset Management plc
Aberdeen group|Aberdeen Group
Abertis Infraestructuras, SA|Abertis
Abi & Abi Pictures|Abi & Abi Studios
SOTRA|The Abidjan Transport Company
Ability Plus Software|Ability Software
Abingdon King Dick|Abingdon Motorcycles
AbioMed|Abiomed Inc.
Abita Brewing Co.|Andygator
Price Brothers Limited|Abitibi Consolidated Inc.
ANNA News|Abkhazian Network News Agency
Able UK|ABLE UK
Ableton|Ableton AG
Ablex Publishing Corporation|Ablex
About Face Media|Aboutface media
Metromedia Fibre Network|Metromedia Fibre Network, Inc.
Abraham & strauss|Abraham and straus
New Abraxis|Abraxis BioScience
Arizona Heart Hospital|Abrazo Arizona Heart Hospital
Abrazo Arrowhead Campus Arizona|Abrazo Arrowhead Campus
Abrazo Community Health Network|Abrazo Health Care
Paradise Valley Hospital|PARADISE VALLEY HOSPITAL
Paradise Valley Hospital Arizona|Paradise Valley Hospital, Arizona
Abrazo West Campus|West Valley Hospital
Abreu Carga|Abreu carga
AbsolutData|Absolutdata
Absolute Software|Absolute Software Corporation
David Abt|Bob Abt
Audi Sport ABT Formula E Team|Team Abt
ADCB|Abu Dhabi Commercial Bank
Abu Dhabi Gas Industries Limited|GASCO
Abu Dhabi Investment Authority|ADIA
Abu Dhabi MAR|Abu Dhabi Mar Group
Abu Dhabi Media|Abu Dhabi Media Company
Adnec|Abu Dhabi National Exhibitions Company
Abu Dhabi National Insurance Company|Abu Dhabi National Insurance Company PSC
Abu Dhabi National Oil Corporation|Abu Dhabi National Oil Company
ADNTC|Abu Dhabi National Takaful Company
Abu Dhabi Ports|ADPC's
Abu Dhabi United Group for Development and Investment|Abu Dhabi United Group
Abuja Investments Company|Abuja Investments Company Limited
Abundance Generation|Abundance Investment
Abzooba|Xpresso
AC3 Company|ac3
African Barrick Gold|Acacia Mining
Acacia Research|Acacia Research Corporation
oddments|Blackwater USA subsidiaries
Academic games|AGLOA
Acid Rain Studios|Academy Comics
Academy Plastic Model Toy Co., Ltd|Academy Plastic Model Co., Ltd.
Academy Sports & Outdoors|Acdemy sports and outdoors
Academy of Clinical Thyroidologists|Academy of clinical thyroidologists
Acadia Broadcasting Ltd|Acadia Broadcasting Co. Ltd.
ACADIA Pharmaceuticals Inc.|ACADIA Pharmaceuticals
Acadian Ambulance Service, Inc.|Acadian Ambulance Service
Acadian Asset Management|Acadian-asset.com
Acapulco restaurant|Acapulco Mexican Restaurant and Cantina
Accel Frontline|Accel Frontline Ltd
Acceleron Pharma|Acceleron Pharma, Inc.
Acceleware|Acceleware Ltd.
Accell|Accell Group
Accellion, Inc.|Accellion
Accelrys|Genetics Computer Group
.accenture|Accenture plc
AccessBank Azerbaijan|AccessBank
AccessBank Liberia|Access Bank Liberia
ACCESS CO., LTD.|Access Co
Access Bank Plc.|Access Bank Plc
Access For Learning Community|Schools Interoperability Framework Association
Access International Advisors Group|Access International Advisors LLC
Access Media Group|Access media group
Accessible Media|Accessible Media Inc.
Q-smart|Accesso LoQueue
Accion USA|Accion U.S. Network
Probe Software|Probe Entertainment
Akklaim|Acclaim Sports
BOTS!!|2Moons
Iguana Entertainment|Acclaim Studios Austin
Acclaim Studios Teesside|Iguana Entertainment UK
Acclarent|Acclarent, Inc.
Accolade Inc.|Fireteam Rogue
Accoona.com|Acoona
Pullman Hotels|Accor Hotels
Accord plc|Accord Plc
Stichting Bangladesh Accord Foundation|Accord on Fire and Building Safety in Bangladesh
Institute of Accounting Technicians in Ireland|Accounting Technicians Ireland
Accountor|Pretax Group
Accreditation Association for Ambulatory Health Care|Accreditation association for ambulatory health care
Accredo|Accredo Health Inc.
Accretive Health, Inc.|Accretive Health
AccuSystems|AccuAccount
Accuweather.com|AccuWeather.com
Accuride Corporation|Accuride
Tasman Software|Accusoft
24ace|24Ace
Ace & Son Moving Picture Co., LLC|Ace & Son
Ace Aircraft Manufacturing Co|Ace Aircraft Manufacturing Company
Ace Communication Group|Ace Telephone
ACE Gallery|ACE gallery
Ace Hardware|ACE Hardware
Alex Calderwood|Ace hotel
Ace Periodicals|Ace Publications
Acer America|Acer Liquid
Ensidesa|Aceralia
Stolt Offshore|Stolt Comex Seaways
Aces Studio|ACES Game Studio
Brouwerij de Achelse Kluis|Achel Brewery
Ryan Haywood|Achievement Hunter
Achmea Holding N.V.|Achmea Hypotheekbank
Reber Automobile|Acme Motor Car Company
Acme Aircraft|Acme Aircraft Corp.
Acme Bread|Acme Bread Company
Acme Brick Company|American Tile Supply
F. W. Albrecht Grocery Co.|Acme Fresh Market
ACME Housing|Acme Group
ACME Markets|Acme Express
Great Lakes Filters|Acme Mills Company and Textile Industries, Inc.
Acme Packet|Acmepacket
Acme Tackle|Acme Tackle Company
Acme United Corporation|Acme United Corp.
Acne Jeans|ACNE Jeans
Acorda Therapeutics Inc.|Acorda Therapeutics
Acorn computer|Acorn Computers Ltd.
Acorn TV|Acorn Media UK
Acorn Treatment and Housing|Acorn Recovery Projects
VIEW|Acornsoft
Acosta inc.|Acosta Sales and Marketing
Acqua Minerale San Benedetto|Acqua Minerale San Benedetto S.p.A.
Acqua Di Parma|Acqua di parma
Acquire Corp.|ACQUIRE Corp.
Acquity Group Limited|Acquity Group
Acrobits Softphone|Acrobits
AcroWiki|Acrocat Software
JSC Acron|Acron Group
Acronis|Acronis Inc.
Acropetal Technologies|Acropetal Technologies Limited
Acsis, Incorporated|Acsis, Inc
Watson Pharmaceuticals|Actavis plc
Actel Corporation|Actel Corp.
Acteon Group|Acteon Group Ltd
Greenchoice|ActewAGL
Actian Corporation|Relational Technology, Inc.
DanActive|Actimel
Ten by Eight|Michael Kerwin
Action For Economic Reforms|Action for Economic Reforms
Action Shoes|Action Group
West Side Studios|Action International Pictures
Actions Semiconductor|Actions Semiconductor Co., Ltd.
Actis|Actis Capital
Activ Solar GmbH|Activsolar
Activant|Activant Solutions Inc.
Activeperl|ActiveTcl
Cruz Bay Publishing|Active Interest Media
Active Network, LLC|ActiveWorks
Active robots|Active Robots
Activision Publishing, Inc.|Actavision
Blizzard-Activision|List of Activision Blizzard games
Actua Corporation|Actua
Actuant|Actuant Corporation
Actuate Corporation|Actuate eReport Designer
Azienda del Consorzio Trasporti Veneziano|Actv
Acuity Brands Inc.|Acuity Brands
Acumed, LLC|Acumed
Acumen|Acumen Fund
Acura|Honda Acura
ACUR|Acura Pharmaceuticals
Acushnet Company|FootJoy
Acxiom Corp.|Acxiom
Acxsys Corporation|Acxsys
Admob|AdMob
Kansai Advertising Council|AC Japan
Adlib|Ad Lib, Inc.
AD OPT, division of Kronos|Ad Opt
Adacore|AdaCore
Adafruit|Adafruit Industries
Adagio City Aparthotel|Adagio City
Adallom, Inc.|Adallom, Inc
Population Planning Associates|Adam & Eve
Adam Aircraft|Adam Aircraft Industries
Adam Internet Pty Ltd.|Adam.com.au
Adam Motor|Adam Motor Company
Adam and Company|Adam & Company Group
Adam & Noah Brown|Adam and Noah Brown
Adamjee Jute Mill|Adamjee Jute Mills
Barrowdrive Ltd.|Adams Childrenswear
Adams Express|Adams Diversified Equity Fund, Inc.
Adams Golf, Inc.|Adams Golf
Adams Resources and Energy, Inc.|Adams Resources & Energy
Adani Enterprises Limited|Adani Group
Adani Power|Adani Power Limited
EasyCDCreator|Adaptec
Parallella|Adapteva, Inc
Adaptive Planning, Inc.|Adaptive Insights, Inc.
Adcash.com|Adcash
Addthis.com|Clearspring Technologies
Addax Petroleum|Addax petroleum
Adder technology|Adder Technology
Addictive Games|Addictive Software
Addition Elle|Addition-Elle
AddressTwo|Carter and Company, LLC
Badenoch & Clark|TAD Resources
Modis|MPS Group, Inc.
Adeline Software International|Adeline Software
Adelphia Online|Adelphia Communications Corporation
Aden Services|Aden services
Adena Springs Farms|Adena Springs South
Adept Technology|Adept Quattro
Aderra inc|Aderra inc.
Adevarul holding|Adevarul Holding
Adex Mining Inc.|Adex Mining
Taylor-made|Adidas originals
Adina World Beat Beverages|Adina for life, inc.
Birla group|Columbian Chemicals
Alcatel Vacuum Technology|Adixen Vacuum Products
AdKnowledge|Adknowledge
Adler and Allan|Adler and allan
Adminitrack|AdminiTrack
Trenes Argentinos Infraestructura Ferroviaria|ADIFSE
Bell Insurance|Admiral Group
Admiral.com|EUI Limited
Admiral Sportswear|Admiral sportswear
Adnams|Adnams PLC
Adnkronosinternational|Adnkronos
Adobe, Inc.|Adobe Systems security breach
Adonit Inc.|Adonit
Adorama|Adorama Camera
International Club d.d.|Adriatic Croatia International Club
Adris grupa|Adris grupa d.d.
AdTech|ADTECH
ADtranz|DaimlerChrysler Rail Systems
Advanced America|Advance America, Cash Advance Centers, Inc.
Advanced auto|Advance Auto Parts Inc
Advance Digital|Advance Internet
Africa West Minerals|Advance Gold Corp.
Newhouse Newspapers|Advance Publications
Advance Telecom|Advance telecom
Advanced Aircraft Corp|Advanced Aircraft
AT&T Consumer Products|VTech Innovation, L.P.
Advanced Battery Technologies, Inc.|Advanced Battery Technologies
Advanced Card Systems|Advanced Card Systems Limited
Inter-ACT|Advanced Computer Techniques
Advanced Energy Industries, Inc.|Advanced Energy
Advance Info Service|Advanced Info Service
Advanced Integrated Manufacturing|AIM Corp
Abbott Medical Optics Inc.|Advanced Medical Optics
Advanced Micro Devices Inc|AMD Graphics Product Group
Advanced Mobile Phone Service|Advanced Mobile Phone Service, Inc.
ASCI Advanced Strategic Computing Initiative|Accelerated Strategic Computing Initiative
ActiveBatch|Advanced Systems Concepts, Inc.
ATICHCD|Advanced Technical Intelligence Center
Advancing Women Artists Foundation|AWAF
Advania hf|Kerfi
Advantage Business Media|Pharma. Process.
Advantage Oil & Gas|Advantage Energy Income Fund Trust Unit
Advantage rent a car|Advantage Rent A Car
Advantest|Advantest Corporation
Lm-LLO immunotherapy|Advaxis, Inc
